feature,importance
static_env_Dis2Road_min,0.13470415163258653
static_env_Elevation_mean,0.09522450278827765
static_env_Elevation_min,0.08403837234181248
static_env_Elevation_max,0.04946974107529213
static_env_Dis2Road_mean,0.031451395155274
static_env_Dis2River_min,0.030494491527258662
static_env_Slope_mean,0.028451852292041183
mean_vel,0.027416766259465788
static_env_Slope_max,0.026151487560008718
static_env_Dis2River_mean,0.023803841638285923
static_env_Dis2Road_max,0.023532169400412938
static_env_NDVI_Pre_max,0.021283039973269857
static_env_NDVI_Pre_min,0.021231005202293134
top20_abs_mean,0.018312405185108738
static_env_TWI_max,0.016836678343874364
static_env_NBR_Pre_min,0.01663526465319486
static_env_Dis2Fault_max,0.01549496515938565
static_env_Dis2River_max,0.015242543650808342
static_env_Dis2Fault_min,0.014971383430608635
static_env_NDWI_Pre_max,0.014705367337775103
static_env_TWI_min,0.014517025016364673
static_env_Dis2River_std,0.013437802893569425
static_env_Slope_std,0.012625599470103123
static_env_Precipitation_min,0.012573666355638639
static_env_Elevation_std,0.0116773934460037
static_env_NBR_Pre_mean,0.01166224819869186
static_env_NDVI_Pre_std,0.011601122769657413
static_env_Curvature_max,0.011368868130129078
static_env_Slope_min,0.011060176441049428
static_env_NDWI_Pre_min,0.010558917652680872
static_env_Dis2Road_std,0.010509974800742687
static_env_NBR_Pre_std,0.010269296247061062
static_env_NDWI_Pre_std,0.010141866295362118
static_env_Precipitation_mean,0.010061209249770926
static_env_Precipitation_std,0.009903965388603289
static_env_Curvature_min,0.009478093393807003
static_env_Dis2Fault_mean,0.009449017030748408
static_env_TWI_std,0.008849264151152532
static_env_Aspect_std,0.007660783177760053
static_env_Curvature_std,0.0075815237512999074
static_env_Aspect_min,0.007573828267672993
static_env_Lithology_mode,0.007405203552886239
static_env_Precipitation_max,0.007212207180811155
static_env_NDVI_Pre_mean,0.007004721984271618
static_env_TWI_mean,0.0069110602958827256
static_env_NDWI_Pre_mean,0.006886936766061589
static_env_Aspect_max,0.006775392669527968
static_env_Curvature_mean,0.006352499448933536
static_env_Dis2Fault_std,0.00565381401035471
static_env_NBR_Pre_max,0.005441433877827128
static_env_Aspect_mean,0.0046377906834745
static_env_Soil_mode,0.002032591201427015
static_env_LULC_mode,0.001673281593638201
is_stable,0.0
