feature,coefficient,raw_coef
static_env_Dis2Road_min,48.31199342035294,-48.31199342035294
static_env_NBR_Pre_mean,27.70001404868563,27.70001404868563
static_env_Dis2River_min,26.626647689751383,-26.626647689751383
static_env_NDVI_Pre_max,26.081771658093565,26.081771658093565
dynamic_forcing_dMNDWI_std,23.797694633315437,-23.797694633315437
static_env_Elevation_std,20.651557688135473,-20.651557688135473
dynamic_forcing_dNDVI_std,20.46653909915486,20.46653909915486
static_env_NDVI_Pre_min,19.455467991221834,-19.455467991221834
static_env_Curvature_std,15.267254085926531,-15.267254085926531
static_env_Lithology_mode,14.668404784637422,-14.668404784637422
static_env_Dis2River_std,14.410280135213254,14.410280135213254
static_env_TWI_mean,14.275623965495365,-14.275623965495365
static_env_Elevation_max,14.1498357783061,-14.1498357783061
static_env_Dis2Road_mean,13.375539280678774,-13.375539280678774
static_env_Slope_min,12.243286415762215,-12.243286415762215
static_env_Aspect_std,11.982279097425895,11.982279097425895
static_env_Dis2Road_std,11.9725903368335,11.9725903368335
static_env_TWI_max,11.738049772534755,-11.738049772534755
static_env_TWI_min,11.669261913838842,-11.669261913838842
static_env_Precipitation_mean,11.524828250819077,11.524828250819077
static_env_NBR_Pre_min,11.360458305482151,11.360458305482151
static_env_Soil_mode,10.893290626934531,10.893290626934531
static_env_NDWI_Pre_mean,10.825184954449545,10.825184954449545
static_env_Dis2Fault_std,10.814757667103228,-10.814757667103228
static_env_Dis2Road_max,10.71233399611401,-10.71233399611401
dynamic_forcing_dNBR_mean,10.42309599290275,10.42309599290275
static_env_NDVI_Pre_mean,10.388393112920678,-10.388393112920678
static_env_Elevation_mean,10.049696254847206,10.049696254847206
static_env_NBR_Pre_max,9.975684419407196,-9.975684419407196
dynamic_forcing_dMNDWI_max,9.55166799648434,9.55166799648434
dynamic_forcing_dNDVI_mean,9.460616940303806,-9.460616940303806
dynamic_forcing_dMNDWI_min,9.226529895020736,9.226529895020736
static_env_NDWI_Pre_max,8.447470023300895,-8.447470023300895
dynamic_forcing_dNDVI_max,8.369046152800042,8.369046152800042
static_env_Curvature_min,7.633692171586341,-7.633692171586341
top20_abs_mean,7.52655106795995,7.52655106795995
dynamic_forcing_dMNDWI_mean,7.308990378099283,-7.308990378099283
static_env_NDWI_Pre_min,7.218426649891262,7.218426649891262
static_env_TWI_std,7.081737606584482,7.081737606584482
static_env_NDVI_Pre_std,6.907176830823122,6.907176830823122
mean_vel,6.877183359276303,-6.877183359276303
static_env_Curvature_mean,6.575154160563132,6.575154160563132
static_env_Precipitation_std,6.13845141984343,-6.13845141984343
dynamic_forcing_dNBR_max,5.6177356818908475,-5.6177356818908475
static_env_NDWI_Pre_std,5.092525651772357,-5.092525651772357
static_env_Slope_mean,4.994921359984654,4.994921359984654
static_env_NBR_Pre_std,4.92419558803817,4.92419558803817
dynamic_forcing_dNBR_min,4.6347083723996985,-4.6347083723996985
dynamic_forcing_dNDVI_min,4.367553157394714,-4.367553157394714
static_env_Curvature_max,4.1426435702152755,4.1426435702152755
static_env_Slope_max,3.8223345038674004,-3.8223345038674004
static_env_Precipitation_max,3.712270453286471,3.712270453286471
static_env_Aspect_mean,3.4915799277376007,-3.4915799277376007
static_env_Aspect_min,2.846284418664695,2.846284418664695
static_env_Dis2River_max,1.486383309589409,-1.486383309589409
static_env_Elevation_min,1.3327502138000067,-1.3327502138000067
static_env_Dis2Fault_mean,1.2773565633668,1.2773565633668
static_env_Slope_std,1.2235001753348913,-1.2235001753348913
static_env_Dis2Fault_min,1.18063212231898,-1.18063212231898
static_env_Precipitation_min,0.775308844845607,-0.775308844845607
static_env_Dis2Fault_max,0.560957346521152,0.560957346521152
static_env_Aspect_max,0.5469345150350168,0.5469345150350168
is_stable,0.1975203706335369,0.1975203706335369
dynamic_forcing_dNBR_std,0.19720856190215721,0.19720856190215721
static_env_LULC_mode,0.19385125763686267,-0.19385125763686267
static_env_Dis2River_mean,0.12925307597582902,-0.12925307597582902
