feature,coefficient,raw_coef
static_env_Dis2Road_min,33.79165789828057,-33.79165789828057
static_env_NDVI_Pre_max,18.368917976952375,18.368917976952375
static_env_Dis2River_min,18.221407437205148,-18.221407437205148
static_env_NBR_Pre_mean,14.899407757810549,14.899407757810549
static_env_Elevation_max,14.766034635985356,-14.766034635985356
static_env_NDVI_Pre_min,14.765785799335292,-14.765785799335292
static_env_NDVI_Pre_mean,14.055474341256378,-14.055474341256378
static_env_NBR_Pre_max,12.987528644876447,-12.987528644876447
static_env_NDVI_Pre_std,10.434646773133812,10.434646773133812
static_env_Elevation_std,10.208542511198713,-10.208542511198713
static_env_TWI_mean,9.522921853365512,-9.522921853365512
static_env_NBR_Pre_std,9.220584179044522,9.220584179044522
static_env_TWI_min,9.210715504195157,-9.210715504195157
static_env_Precipitation_mean,8.81753100541135,8.81753100541135
static_env_NDWI_Pre_min,8.411381923502718,8.411381923502718
static_env_Dis2River_std,7.1862099091227405,7.1862099091227405
static_env_Curvature_std,6.804677360144563,-6.804677360144563
static_env_NDWI_Pre_max,6.689826140361163,-6.689826140361163
static_env_Elevation_min,6.546971118349139,-6.546971118349139
static_env_NDWI_Pre_std,6.3338833954691625,-6.3338833954691625
static_env_Precipitation_min,6.315805228428796,-6.315805228428796
static_env_Slope_max,6.254563375368305,6.254563375368305
static_env_NDWI_Pre_mean,6.252187402450589,6.252187402450589
static_env_Slope_mean,5.861748268936847,5.861748268936847
static_env_TWI_std,5.837444996362248,5.837444996362248
static_env_Lithology_mode,5.818018287558023,-5.818018287558023
static_env_NBR_Pre_min,5.551815035847643,5.551815035847643
static_env_Curvature_min,5.48794846143159,-5.48794846143159
static_env_Slope_min,5.35561985393827,-5.35561985393827
static_env_Dis2Road_mean,5.117233188149585,-5.117233188149585
static_env_Aspect_min,4.850435658380586,4.850435658380586
static_env_Soil_mode,4.845622101592407,4.845622101592407
static_env_Dis2Fault_max,4.69612420219574,4.69612420219574
static_env_Dis2River_max,4.687878842513797,4.687878842513797
static_env_Dis2River_mean,4.6155180687249375,4.6155180687249375
mean_vel,4.51516042741943,-4.51516042741943
static_env_Dis2Road_std,4.337900952530623,4.337900952530623
static_env_Precipitation_max,4.227376226201964,-4.227376226201964
static_env_Aspect_std,3.9698020104248677,3.9698020104248677
static_env_Curvature_max,3.677787363222179,3.677787363222179
static_env_Dis2Fault_mean,3.41575429260003,3.41575429260003
static_env_Precipitation_std,3.1112347325605856,-3.1112347325605856
top20_abs_mean,2.913812724807014,2.913812724807014
static_env_Elevation_mean,2.436304643197077,2.436304643197077
static_env_Dis2Fault_std,1.9678102696659274,1.9678102696659274
static_env_Slope_std,1.4156822494893604,1.4156822494893604
static_env_LULC_mode,1.3749115307665607,-1.3749115307665607
static_env_Dis2Fault_min,0.9518645342646616,0.9518645342646616
static_env_Aspect_max,0.8686219726211306,-0.8686219726211306
is_stable,0.6270169980557385,0.6270169980557385
static_env_TWI_max,0.5733726764921652,-0.5733726764921652
static_env_Dis2Road_max,0.46842236323631753,0.46842236323631753
static_env_Curvature_mean,0.3281622478792314,-0.3281622478792314
static_env_Aspect_mean,0.2579939925200436,-0.2579939925200436
