Feature,Gain
Dis2Road_min,9.605679512023926
Dis2Road_mean,4.454585552215576
Slope_max,3.9798810482025146
Slope_mean,3.868516445159912
Dis2River_max,3.3442699909210205
Lithology_mode,2.9986305236816406
Precipitation_min,2.740983009338379
dNBR_mean,2.5822179317474365
Dis2River_min,2.479353666305542
Slope_std,2.3846983909606934
Dis2Road_std,2.3839778900146484
Dis2Fault_max,2.358397960662842
Dis2Fault_mean,2.2322938442230225
Dis2River_mean,2.1924495697021484
Dis2Fault_min,2.048135757446289
Precipitation_max,1.9758433103561401
dNDVI_min,1.9745324850082397
Dis2River_std,1.9088906049728394
dMNDWI_mean,1.8165960311889648
Dis2Road_max,1.6740330457687378
Aspect_min,1.5788465738296509
dNDVI_max,1.4952142238616943
dNBR_max,1.4859886169433594
dMNDWI_max,1.360650658607483
Slope_min,1.3566268682479858
Precipitation_mean,1.3527922630310059
Precipitation_std,1.3388115167617798
Aspect_mean,1.3192328214645386
Dis2Fault_std,1.3121918439865112
Aspect_max,1.2414458990097046
dNDVI_std,1.2130200862884521
Aspect_std,1.1774797439575195
dNBR_min,1.150262475013733
dMNDWI_min,1.1021728515625
dMNDWI_std,0.9906834959983826
dNBR_std,0.9649835228919983
dNDVI_mean,0.949560284614563
