Feature,Gain
Dis2Road_min,5.971068859100342
Lithology_mode,2.761327028274536
Slope_mean,2.46014142036438
Dis2River_max,1.9204086065292358
Dis2Fault_mean,1.6893794536590576
Dis2River_min,1.6874936819076538
Dis2Road_max,1.607839584350586
Dis2Fault_min,1.6013689041137695
Dis2River_mean,1.5750811100006104
Dis2Fault_max,1.4319978952407837
Slope_max,1.3693156242370605
Dis2Road_mean,1.3605422973632812
Precipitation_min,1.3353825807571411
Slope_std,1.2852014303207397
Precipitation_max,1.2223396301269531
Slope_min,1.1500585079193115
Dis2River_std,1.1086516380310059
Aspect_mean,0.9987620711326599
Precipitation_std,0.94063800573349
Dis2Road_std,0.9314799904823303
Precipitation_mean,0.9098184704780579
Aspect_min,0.8226140737533569
Aspect_max,0.7382396459579468
Dis2Fault_std,0.7129655480384827
Aspect_std,0.6738237738609314
