su_id,static_env_Slope_mean,static_env_Slope_std,static_env_Slope_min,static_env_Slope_max,static_env_Lithology_mode,static_env_Elevation_mean,static_env_Elevation_std,static_env_Elevation_min,static_env_Elevation_max,static_env_Curvature_mean,static_env_Curvature_std,static_env_Curvature_min,static_env_Curvature_max,static_env_TWI_mean,static_env_TWI_std,static_env_TWI_min,static_env_TWI_max,static_env_Aspect_mean,static_env_Aspect_std,static_env_Aspect_min,static_env_Aspect_max,static_env_Soil_mode,static_env_LULC_mode,static_env_Dis2River_mean,static_env_Dis2River_std,static_env_Dis2River_min,static_env_Dis2River_max,static_env_Dis2Road_mean,static_env_Dis2Road_std,static_env_Dis2Road_min,static_env_Dis2Road_max,static_env_Dis2Fault_mean,static_env_Dis2Fault_std,static_env_Dis2Fault_min,static_env_Dis2Fault_max,static_env_Precipitation_mean,static_env_Precipitation_std,static_env_Precipitation_min,static_env_Precipitation_max,static_env_NBR_Pre_mean,static_env_NBR_Pre_std,static_env_NBR_Pre_min,static_env_NBR_Pre_max,static_env_NDVI_Pre_mean,static_env_NDVI_Pre_std,static_env_NDVI_Pre_min,static_env_NDVI_Pre_max,static_env_NDWI_Pre_mean,static_env_NDWI_Pre_std,static_env_NDWI_Pre_min,static_env_NDWI_Pre_max,dynamic_forcing_dNDVI_mean,dynamic_forcing_dNDVI_std,dynamic_forcing_dNDVI_min,dynamic_forcing_dNDVI_max,dynamic_forcing_dNBR_mean,dynamic_forcing_dNBR_std,dynamic_forcing_dNBR_min,dynamic_forcing_dNBR_max,dynamic_forcing_dMNDWI_mean,dynamic_forcing_dMNDWI_std,dynamic_forcing_dMNDWI_min,dynamic_forcing_dMNDWI_max,slide_pixels,total_pixels,mean_vel,top20_abs_mean,is_stable
290,0.009402405,0.010445658,0.010613855,0.0073069967,0.0105416775,0.09337083,0.06447639,0.298695,0.08075348,0.010547647,0.010546408,0.010537928,0.010539867,0.010575199,0.010547653,0.010559562,0.010341335,0.01871016,0.01329243,0.010705362,0.07337717,0.0105107855,0.010567916,0.110091895,0.5539127,0.09450845,0.7445013,0.06709203,0.7788822,0.081310086,0.05855984,0.7432758,0.102383584,0.8763966,0.4810566,0.58348864,0.010681672,0.35771596,0.4840832,0.010547249,0.010547527,0.010547796,0.01054698,0.010547195,0.0105475485,0.010548508,0.010546831,0.0105475485,0.010547572,0.0105470605,0.010548424,0.010547632,0.010547642,0.010547235,0.010547672,0.010547637,0.010547637,0.010547373,0.010547427,0.010547653,0.010547632,0.010548243,0.010547463,0.15867603,0.479351,0.010547642,0.010547637,0.010548046
350,0.009760884,0.010472594,0.010594914,0.009583918,0.01054299,0.12873457,0.076882765,0.45765382,0.12352217,0.010547642,0.010546687,0.010540518,0.010541612,0.010562478,0.010547558,0.01055372,0.01041047,0.017000157,0.011948346,0.0106173055,0.03730878,0.010523062,0.010560315,0.08816441,0.19394736,0.0731969,0.0437626,0.115559034,0.5701617,0.13773458,0.09246328,0.6827541,0.04795764,0.824116,0.3668391,0.20604594,0.010639207,0.11733959,0.13639821,0.010547333,0.010547588,0.010547766,0.010547195,0.010547309,0.010547588,0.010548105,0.010547054,0.010547572,0.010547603,0.010547244,0.010548015,0.010547637,0.010547637,0.010547369,0.010547667,0.010547642,0.010547637,0.010547448,0.010547439,0.010547647,0.010547632,0.010548065,0.010547508,0.6966991,0.35367244,0.010547642,0.010547642,0.010547901
393,0.009788945,0.010475644,0.0105913,0.008654137,0.0105431685,0.12525745,0.07728502,0.41527566,0.122048795,0.010547642,0.010546717,0.010540643,0.010541812,0.010562024,0.010547558,0.010553497,0.010416544,0.016334558,0.011747744,0.010644203,0.035028048,0.010523638,0.010559931,0.08642543,0.18392773,0.07315808,0.0464041,0.11460155,0.5689451,0.13542797,0.09118067,0.6700098,0.045967016,0.8240652,0.37801978,0.18887587,0.010638961,0.107531555,0.12574743,0.010547339,0.010547591,0.010547752,0.010547204,0.010547309,0.010547588,0.010548095,0.0105470605,0.0105475625,0.010547603,0.010547249,0.010548005,0.010547637,0.010547637,0.010547373,0.010547662,0.010547642,0.010547637,0.010547458,0.010547443,0.010547647,0.010547632,0.01054805,0.010547504,0.687942,0.36283815,0.010547642,0.010547642,0.010547881
497,0.010374014,0.0105306115,0.01056035,0.009922618,0.010546532,0.053852145,0.032835767,0.028613139,0.07628287,0.010547642,0.010547433,0.010546005,0.010546045,0.010550504,0.010547582,0.010548771,0.01051782,0.009414203,0.010827996,0.010598264,0.011487582,0.010542349,0.01055027,0.01996414,0.015673246,0.021647396,0.0113096945,0.06353153,0.057233777,0.08377672,0.0532463,0.500208,0.01085968,0.70845664,0.30883133,0.018783078,0.01056835,0.0146100335,0.01489858,0.010547577,0.010547622,0.010547568,0.0105475485,0.0105475625,0.010547617,0.010547613,0.010547487,0.010547617,0.010547622,0.010547552,0.010547597,0.010547642,0.010547642,0.010547572,0.010547647,0.010547642,0.010547642,0.010547588,0.010547537,0.010547647,0.010547637,0.010547766,0.010547597,0.74203193,0.12165797,0.010547642,0.010547642,0.010547677
527,0.010536928,0.010546299,0.010549021,0.01049994,0.010547582,0.013413404,0.011068381,0.016034216,0.016796615,0.010547642,0.010547628,0.010547533,0.010547522,0.010547951,0.010547653,0.010547766,0.010545742,0.01044376,0.010561745,0.010553168,0.010403251,0.010547268,0.010547951,0.010143057,0.010291507,0.01073376,0.010942972,0.01203413,0.010436943,0.011369702,0.011778004,0.1886595,0.010300932,0.28204665,0.1263283,0.009962031,0.010549538,0.009888452,0.010727195,0.010547637,0.010547637,0.010547637,0.010547637,0.010547637,0.010547637,0.010547637,0.010547632,0.010547637,0.010547637,0.010547632,0.010547642,0.010547642,0.010547642,0.010547637,0.010547647,0.010547642,0.010547642,0.010547637,0.010547637,0.010547642,0.010547642,0.010547647,0.010547637,0.010540652,0.0075544305,0.010547642,0.010547642,0.010547647
551,0.0097886585,0.010475886,0.010591201,0.008632577,0.010543253,0.124113396,0.075955816,0.41178253,0.12125964,0.010547642,0.010546717,0.010540662,0.010541856,0.010562258,0.010547572,0.010553561,0.0104171485,0.016366621,0.011735754,0.010640588,0.034917574,0.0105237365,0.010559946,0.08536261,0.18449046,0.073579766,0.054160547,0.1130681,0.5683166,0.13484122,0.09088661,0.67008895,0.046020932,0.82706845,0.37280902,0.18940678,0.010638976,0.112255,0.12617855,0.010547339,0.010547588,0.010547756,0.010547204,0.010547309,0.010547588,0.0105481,0.0105470605,0.0105475625,0.010547603,0.010547254,0.0105480105,0.010547637,0.010547642,0.010547373,0.010547662,0.010547642,0.010547637,0.010547458,0.010547448,0.010547647,0.010547632,0.010548046,0.010547508,0.6819446,0.37153512,0.010547642,0.010547637,0.010547887
552,0.010370682,0.010530184,0.010560738,0.009911027,0.010546532,0.05462558,0.033228494,0.02949335,0.07970945,0.010547642,0.010547427,0.010545975,0.01054601,0.010550609,0.010547588,0.010548802,0.01051711,0.00940387,0.010834375,0.010600914,0.011590062,0.010542205,0.01055034,0.018868823,0.015864357,0.021091318,0.012094356,0.06456911,0.05802045,0.08463727,0.054231297,0.4974299,0.010925764,0.71269566,0.29944292,0.018992731,0.010569427,0.014638982,0.015315346,0.010547572,0.010547622,0.0105475625,0.010547542,0.010547568,0.010547613,0.010547608,0.010547482,0.010547613,0.010547622,0.0105475485,0.010547591,0.010547642,0.010547642,0.010547572,0.010547647,0.010547642,0.010547642,0.010547588,0.010547527,0.010547647,0.010547637,0.010547772,0.010547597,0.72335154,0.115564615,0.010547642,0.010547642,0.010547677
571,0.010528674,0.01054491,0.0105494335,0.01046673,0.010547443,0.015840411,0.011529855,0.01728435,0.020581411,0.010547642,0.010547622,0.010547454,0.010547463,0.010548065,0.010547642,0.010547821,0.01054325,0.010290627,0.010571641,0.010561261,0.010173153,0.010546951,0.010548086,0.010250479,0.009856975,0.010549259,0.010165589,0.012289738,0.009995794,0.010770943,0.012408706,0.22149193,0.010086049,0.33801278,0.1514625,0.00959946,0.010549871,0.009667074,0.010332033,0.010547632,0.010547637,0.010547637,0.010547628,0.010547632,0.010547637,0.010547637,0.010547622,0.010547637,0.010547637,0.010547632,0.010547637,0.010547642,0.010547642,0.010547632,0.010547642,0.010547642,0.010547642,0.010547632,0.010547632,0.010547642,0.010547642,0.010547647,0.010547637,0.0105230315,0.008294755,0.010547642,0.010547642,0.010547647
577,0.010519968,0.010543015,0.010549664,0.010424136,0.010547299,0.019191915,0.012072037,0.026401907,0.025171055,0.010547642,0.010547608,0.010547339,0.010547378,0.01054826,0.010547628,0.010547921,0.010540692,0.010180434,0.010587689,0.010569391,0.00990501,0.010546522,0.010548429,0.010465293,0.010520218,0.010549643,0.009763156,0.013429928,0.00969189,0.010795128,0.013757937,0.29109925,0.009805923,0.44450548,0.19207506,0.009099235,0.0105513595,0.0093616415,0.009935931,0.010547628,0.010547637,0.010547632,0.010547617,0.010547622,0.010547632,0.010547632,0.010547608,0.010547632,0.010547637,0.010547617,0.010547637,0.010547642,0.010547642,0.010547628,0.010547642,0.010547642,0.010547642,0.010547628,0.010547632,0.010547642,0.010547642,0.010547653,0.010547632,0.010499618,0.008835963,0.010547642,0.010547642,0.010547657
583,0.010348551,0.010528262,0.010562198,0.009840677,0.010546364,0.062273394,0.036438767,0.033373713,0.084466405,0.010547637,0.010547399,0.010545766,0.010545821,0.010550923,0.010547582,0.010548952,0.010513573,0.00934747,0.010876755,0.010599413,0.012163809,0.010541578,0.010550678,0.02205606,0.017423224,0.023978623,0.012218545,0.07157805,0.07131905,0.09374165,0.059526514,0.5097605,0.011537245,0.7252695,0.32100314,0.022057768,0.010571587,0.016348077,0.016658619,0.010547568,0.010547622,0.010547558,0.010547533,0.010547558,0.010547613,0.010547613,0.0105474675,0.010547613,0.010547622,0.010547533,0.010547597,0.010547642,0.010547642,0.0105475625,0.010547647,0.010547642,0.010547642,0.010547582,0.010547518,0.010547642,0.010547637,0.010547787,0.010547591,0.74057156,0.13326839,0.010547642,0.010547642,0.010547686
