su_id,static_env_Slope_mean,static_env_Slope_std,static_env_Slope_min,static_env_Slope_max,static_env_Lithology_mode,static_env_Elevation_mean,static_env_Elevation_std,static_env_Elevation_min,static_env_Elevation_max,static_env_Curvature_mean,static_env_Curvature_std,static_env_Curvature_min,static_env_Curvature_max,static_env_TWI_mean,static_env_TWI_std,static_env_TWI_min,static_env_TWI_max,static_env_Aspect_mean,static_env_Aspect_std,static_env_Aspect_min,static_env_Aspect_max,static_env_Soil_mode,static_env_LULC_mode,static_env_Dis2River_mean,static_env_Dis2River_std,static_env_Dis2River_min,static_env_Dis2River_max,static_env_Dis2Road_mean,static_env_Dis2Road_std,static_env_Dis2Road_min,static_env_Dis2Road_max,static_env_Dis2Fault_mean,static_env_Dis2Fault_std,static_env_Dis2Fault_min,static_env_Dis2Fault_max,static_env_Precipitation_mean,static_env_Precipitation_std,static_env_Precipitation_min,static_env_Precipitation_max,static_env_NBR_Pre_mean,static_env_NBR_Pre_std,static_env_NBR_Pre_min,static_env_NBR_Pre_max,static_env_NDVI_Pre_mean,static_env_NDVI_Pre_std,static_env_NDVI_Pre_min,static_env_NDVI_Pre_max,static_env_NDWI_Pre_mean,static_env_NDWI_Pre_std,static_env_NDWI_Pre_min,static_env_NDWI_Pre_max,slide_pixels,total_pixels,mean_vel,top20_abs_mean,is_stable
290,0.009147882,0.01042695,0.01064938,0.012199987,0.01056635,0.026233247,0.13475053,0.02921655,0.17104317,0.010547642,0.010548448,0.010558541,0.0105528785,0.010610575,0.010555842,0.010575597,0.010314714,0.026213689,0.014365555,0.00957148,0.10672263,0.010534865,0.010566012,0.12675683,0.1903633,0.08039604,0.6599008,0.17642528,0.6207515,0.17941217,0.7154435,0.24434994,0.02065105,0.19538626,0.7953246,0.0105512515,0.01071108,0.0963076,0.026019875,0.010548204,0.010547637,0.010547572,0.010548424,0.010548314,0.010547653,0.010547313,0.010548512,0.010548433,0.010547637,0.01054828,0.010547159,0.21755154,0.6908654,0.010547628,0.010547628,0.010549957
350,0.009450027,0.010436657,0.010642636,0.014318989,0.010563583,0.04254371,0.15201244,0.044251952,0.21962015,0.010547628,0.010548448,0.0105578685,0.010552684,0.010594454,0.010555089,0.010566175,0.010357707,0.0251076,0.012971437,0.0096752085,0.07148288,0.010537072,0.010562183,0.12838586,0.127115,0.054681554,0.4329083,0.23482181,0.5023589,0.2350614,0.62489337,0.2839442,0.01722526,0.233691,0.73487705,0.022841172,0.010699793,0.05362218,0.011747927,0.010548174,0.010547632,0.010547597,0.010548319,0.01054822,0.010547642,0.010547454,0.010548349,0.010548299,0.010547632,0.01054815,0.010547403,0.64432126,0.6072632,0.010547628,0.010547628,0.010549514
393,0.009464214,0.010437244,0.010639764,0.0142825525,0.010563604,0.07344119,0.15452528,0.0813147,0.21928497,0.010547628,0.0105484435,0.010558029,0.010552664,0.010594633,0.010554995,0.010566111,0.010361441,0.024555532,0.012689617,0.009682769,0.07178284,0.010536828,0.010562173,0.12656634,0.12645525,0.052462943,0.4553032,0.23092942,0.5062374,0.23368923,0.62822324,0.284908,0.01747382,0.23942348,0.7353355,0.025011268,0.010703392,0.053903375,0.012942134,0.010548165,0.010547632,0.010547597,0.010548314,0.010548214,0.010547642,0.010547443,0.010548334,0.010548299,0.010547632,0.01054815,0.010547389,0.6425822,0.5593736,0.010547628,0.010547628,0.010549514
497,0.010371274,0.010533459,0.010560754,0.010070978,0.010549374,0.015984386,0.0396833,0.020788739,0.12024607,0.010547622,0.010547726,0.010548881,0.010548294,0.010552898,0.010548519,0.010549558,0.010523265,0.009951253,0.010815708,0.010501189,0.012514184,0.010546239,0.010549185,0.018972803,0.012829268,0.01201923,0.032544885,0.09003,0.04952281,0.11577809,0.032540403,0.23251556,0.010010844,0.22907476,0.6797648,0.0123823155,0.010566561,0.01136202,0.010785625,0.010547672,0.010547628,0.010547657,0.010547701,0.010547682,0.010547628,0.010547647,0.010547697,0.010547677,0.010547628,0.010547682,0.010547662,0.56406474,0.16430308,0.010547628,0.010547628,0.010547836
527,0.010557879,0.010548508,0.010546961,0.010577244,0.010547582,0.008251532,0.01012718,0.010577104,0.007861172,0.010547628,0.010547622,0.010547582,0.010547617,0.0105475625,0.010547597,0.010547588,0.010549609,0.010592344,0.01054399,0.010539464,0.010693001,0.010547787,0.010547577,0.010056479,0.010948795,0.010562134,0.012788443,0.0096136145,0.011309232,0.010023299,0.009307523,0.02830243,0.01078849,0.025482817,0.095948026,0.010746379,0.01054602,0.010591655,0.01080729,0.010547628,0.010547628,0.010547628,0.010547628,0.010547622,0.010547628,0.010547622,0.010547628,0.010547628,0.010547628,0.010547628,0.010547622,0.0105587,0.014292961,0.010547628,0.010547628,0.010547628
551,0.009456148,0.010436381,0.010640376,0.0143100405,0.010563718,0.069622315,0.15503752,0.081211194,0.21904196,0.010547628,0.010548453,0.010558099,0.01055271,0.010594894,0.01055502,0.010566225,0.010360048,0.024555536,0.012703741,0.00967965,0.07181743,0.010536729,0.0105622625,0.125925,0.1266434,0.052225407,0.45583424,0.23081012,0.5088946,0.23337962,0.6286203,0.28709224,0.017546622,0.23873621,0.7359718,0.025109531,0.010704245,0.0550561,0.0114997225,0.01054817,0.010547632,0.010547597,0.010548319,0.01054822,0.010547642,0.010547443,0.010548338,0.010548299,0.010547632,0.010548156,0.010547389,0.642766,0.5539197,0.010547628,0.010547628,0.0105495285
552,0.010342496,0.010530984,0.010563519,0.010029234,0.010549692,0.017499413,0.04664191,0.022259753,0.13804993,0.010547622,0.010547737,0.01054911,0.010548394,0.01055384,0.010548662,0.010549947,0.010519036,0.009999202,0.010877012,0.010492709,0.013500779,0.01054597,0.010549463,0.021400942,0.013916539,0.012424428,0.04023964,0.10818336,0.059996232,0.13650537,0.038119145,0.25091478,0.010007149,0.24411416,0.68069506,0.01295911,0.010570284,0.011784909,0.010836225,0.010547677,0.010547628,0.010547653,0.010547717,0.010547692,0.010547628,0.010547647,0.010547712,0.010547692,0.010547628,0.010547692,0.010547657,0.57472235,0.1716635,0.010547628,0.010547628,0.010547872
571,0.010543363,0.01054708,0.010548214,0.010528161,0.010547722,0.009273668,0.010861725,0.01004828,0.012793295,0.010547628,0.010547632,0.010547667,0.010547657,0.010547945,0.010547667,0.010547726,0.010547179,0.010518956,0.010558392,0.010544567,0.010435396,0.010547597,0.010547722,0.010497984,0.010462617,0.010546697,0.01041243,0.010795347,0.01043812,0.010621108,0.009966044,0.046123084,0.010636562,0.047112778,0.1509889,0.010699062,0.0105481595,0.010617656,0.010450155,0.010547628,0.010547628,0.010547628,0.010547632,0.010547628,0.010547628,0.010547628,0.010547632,0.010547632,0.010547628,0.010547632,0.010547628,0.010498187,0.015103892,0.010547628,0.010547628,0.010547632
577,0.010524184,0.010544791,0.010549688,0.010461131,0.010547985,0.009481726,0.0120946355,0.01147667,0.025005272,0.010547628,0.010547642,0.010547817,0.010547717,0.010548653,0.01054781,0.010548001,0.010543646,0.010408029,0.01058174,0.010546528,0.010091353,0.010547399,0.010547996,0.010962326,0.009901704,0.010546467,0.0103220185,0.012401982,0.009594203,0.010664135,0.010264183,0.074249916,0.01052313,0.11677183,0.45789534,0.010745564,0.010551346,0.010646245,0.010089044,0.010547637,0.010547628,0.010547632,0.010547642,0.010547637,0.010547628,0.010547628,0.010547637,0.010547637,0.010547628,0.010547637,0.010547628,0.0103022745,0.026455738,0.010547628,0.010547628,0.010547662
583,0.010337583,0.010530939,0.010563648,0.010021085,0.010549752,0.01701217,0.046288114,0.024095818,0.13911147,0.010547622,0.010547742,0.010549154,0.010548415,0.010553829,0.010548676,0.010549962,0.010518301,0.010000623,0.010877156,0.01048921,0.013591474,0.010545941,0.010549519,0.021705458,0.014148376,0.012463191,0.041061774,0.11075317,0.06368616,0.13828559,0.037890717,0.24447115,0.009995897,0.24169795,0.6805955,0.012960964,0.010571222,0.01180429,0.010883925,0.010547677,0.010547628,0.010547657,0.010547722,0.010547692,0.010547628,0.010547647,0.010547712,0.010547692,0.010547628,0.010547697,0.010547657,0.5846404,0.17378601,0.010547628,0.010547628,0.010547876
